Tên Công Việc,Tên Công Ty,Lương,Địa Điểm,Hình Ảnh
"Nhân Viên Kinh Doanh/ Chăm Sóc Khách Hàng/ Telesales - Sales B2B ( Nữ, Thu Nhập Từ 7 Tr - 20tr/ Tháng + HH 3%)",CÔNG TY CỔ PHẦN ĐẦU TƯ QUẢNG CÁO SONG HÀNH,7 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/Iidgb7Vk47cQLhBPc4pZijJeGouTeHtg_1685930163____ffae01671d3efadab940a597e0f2a22f.jpeg
"GẤP
Giám Đốc Tuyển Sinh Du Học (Thị Trường Hàn Quốc, Các Nước Châu Á) Thu Nhập 40 - 50 Triệu",CÔNG TY CỔ PHẦN GIÁO DỤC QUỐC TẾ EDUGO,40 - 50 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/BGQN9dGifkTwXcfcxQ5yH97wU0NHjPfk_1712130215____477d3121d8c15ac7164485b825c1c656.png
"Nhân Viên Kinh Doanh Tư Vấn Dịch Vụ Website_Thu Nhập Hấp Dẫn Từ 10 - 20 Triệu/Tháng (Hà Nội, Đà Nẵng, Bình Dương)",Công ty Cổ phần PropertyGuru Việt Nam,10 - 20 triệu,Hà Nội & 2 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-propertyguru-viet-nam-e8a94c4eaf57e0e680c3257ae58edb57-64d338f065037.jpg
"HOT
Nhân Viên Tư Vấn Kiêm CSKH - Tại Thủ Đức (Data, LapTop Có Sẳn)",CÔNG TY TNHH VIKIDO,15 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-vikido-2ff1490f9b774857f448f0e14fe26c6b-661cac598ee00.jpg
"HOT
Nhân Viên Kinh Doanh Online Tại Văn Phòng - Lương Cơ Bản Upto 13Tr + Hoa Hồng Upto 30% + Phụ Cấp",Công ty cổ phần Công nghệ Sapo,15 - 20 triệu,Hà Nội & 3 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-sapo-6166c32089ac7.jpg
"Cửa Hàng Trưởng (Store Manager) - Thu Nhập Từ 13,5 - 18 Triệu",CÔNG TY TNHH MAXIDI VIỆT NAM,13.5 - 18 triệu,Đồng Nai,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-maxidi-viet-nam-d56857bba0390e6bea0cbb541f391f42-6645761fdc740.jpg
"Nhân Viên Tư Vấn Chốt Đơn Sản Phẩm Theo Data Có Sẵn (Thử Việc Nhận 100% Lương Cứng, Thu Nhập Upto 25 Triệu/ Tháng) (CSKH/Telesale/ Nhân Viên Kinh Doanh )",CÔNG TY CỔ PHẦN BPO MẮT BÃO,10 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/tlYSuPjeSUBmnABH9CK2hm7vJtixEG9f_1709977984____b6375b994dadc8d69d315d10d348cf18.jpeg
"GẤP
Nhân Viên Kinh Doanh Rèm Chắn Nắng, Cửa Muỗi Cao Cấp ( Thu Nhập 8 Triệu - 30 Triệu )",CÔNG TY CỔ PHẦN CỬA AMADOOR,8 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/6QjuWRIcdZUk4AAdPGsd78NG3YLPxB8p_1722691671____0bdf269d848c8700224bd7e1f52a1db3.jpg
Nhân Viên Kinh Doanh / Sales (Không Yêu Cầu Kinh Nghiệm) - Tại Hà Nội,Công ty cổ phần Grand Nutrition,9 - 15 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/TtErXoY8ibRqIyfk5zrBA8PntCPGy8qQ_1662535504____b352221a8f8b7346490f61058c9b83c3.jpg
Nhân Viên Kinh Doanh/Tư Vấn/Telesale/Sale Online - Không Yêu Cầu Kinh Nghiệm Tại Hà Nội (Thu Nhập Upto 20 Triệu),CÔNG TY CỔ PHẦN ỨNG DỤNG CÔNG NGHỆ VŨ HẢI,6 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/1NtePblxX8Ea7XSjwUPpamu8VmJHKyNO_1698735077____0fe0c8c1c8fabf19ea0f8aa9038fbbdf.PNG
