Tên Công Việc,Tên Công Ty,Lương,Địa Điểm,Hình Ảnh
Nhân Viên Marketing Tổ Chức Sự Kiện Không Yêu Cầu Kinh Nghiệm (Lương 9-12 Triệu ++),Công Ty Cổ Phần Tập Đoàn Babylons,8 - 10 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-tap-doan-babylons-63e5c8d6e9a4a.jpg
Java Developer (JLPT N3 Up),FPT Software,Thoả thuận,"Hà Nội, Đà Nẵng",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/fpt-software-6073b38a10cb4.jpg
"Nhân Viên Bán Hàng Nội Thất (Full-Time, Part-Time)- Quận 1,Hồ Chí Minh",CÔNG TY TNHH HÈ STUDIO,8 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/wnOqANX5rDYEFFGPX64nduJ4ewhBR99O_1679294611____2f9fd6019330bcf6180631699a6d7c7d.png
"HOT
Chuyên Viên Quan Hệ Khách Hàng Cá Nhân - MSB RM Vision - 1O204",Ngân hàng TMCP Hàng Hải Việt Nam (MSB),10 - 35 triệu,Hà Nam & 9 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ngan-hang-tmcp-hang-hai-5ca1e09fb0cf2.jpg
Sales Support Job Description - Thu Nhập Hấp Dẫn,CÔNG TY TNHH BRODUCERS,Thoả thuận,Hà Nội & 2 nơi khác,https://www.topcv.vn/v4/image/normal-company/logo_default.png
"Trợ Lý Giám Đốc (Tiếng Nhật N2, Chỉ Tuyển Nam) Lương Từ 20-30 Triệu",CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ VIỆT NHẬT,20 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-va-dich-vu-viet-nhat-6270ccc2d0676.jpg
Chuyên Viên Tư Vấn Khách Hàng Cấp Cao - Thu Nhập Cố Định Từ 12-18 Triệu/Tháng,Công ty TNHH Bảo Hiểm Nhân Thọ Sun Life Việt Nam,12 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-bao-hiem-nhan-tho-sun-life-viet-nam-3dc6079ed9fd8bd2dc6908dfbdb36f7c-66a889601c82b.jpg
Nhân Viên Kinh Doanh/Sales B2B Phần Mềm Quản Trị Doanh Nghiệp (Có Bằng Cấp Khối Ngành Kinh Tế) - Thu Nhập Lên Đến 30 Triệu - HN/HCM,Công ty Cổ phần MISA,20 - 30 triệu,"Hồ Chí Minh, Hà Nội",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/YVVFSY05ZUhqjlVHtBl2kOD1a189WFj0_1652947920____d78c5dd2ab820dcbb9a367b40e712067.jpg
"Nhân Viên Kinh Doanh / Tư Vấn Bán Hàng BĐS - Lương Cứng 6,5 Triệu + Thưởng (Không Yêu Cầu Kinh Nghiệm, Nhận Thực Tập Sinh, Hỗ Trợ Mộc Thực Tập)",CÔNG TY CỔ PHẦN DKRA VEGA,30 - 100 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dkra-vega-55e0d727b2e1787fe388dc98c39314c0-66a9bf1c7bc41.jpg
Công Tác Sinh Viên_Cao Đẳng FPT Tây Nguyên,Phân hiệu Trường Đại học FPT tại thành phố Hồ Chí Minh,Thoả thuận,Đắk Lắk,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/kpvUt6tWEVPX2B1aUcN3yG99SZCk6hyM_1661790028____acdb04d852c940425e3136343cdb63ee.jpg
"Chuyên Viên Tư Vấn Tuyển Sinh - Thu Nhập 10-30 Triệu - Không Yêu Cầu Kinh Nghiệm (Hà Nội, Bắc Ninh, Nghệ An)",Công ty Cổ phần Giáo dục & Đào tạo IMAP Việt Nam,10 - 30 triệu,Hà Nội & 2 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-giao-duc-dao-tao-imap-viet-nam-5da97e1f22484.jpg
Đại Diện Kinh Doanh (Tôm Xuất Khẩu ) - Thu Nhập Lên Đến 20 Triệu - Đi Làm Ngay,CÔNG TY TNHH LOTTE VINA INTERNATIONAL,15 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-lotte-vina-international-8844dec0be1378b231c8813e7b74932f-669e316330566.jpg
Nhân Viên Kinh Doanh - Trình Dược Viên (Thu Nhập Từ 20 - 40 Triệu),Công ty Cổ phần Dược phẩm và Thiết Bị y tế Đông Nam Á,20 - 40 triệu,Hà Nội & 14 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-duoc-pham-va-thiet-bi-y-te-dong-nam-a-58dcbb49936b9_rs.jpg
"GẤP
Trưởng Phòng Tài Chính - Kế Toán (Lĩnh Vực Xây Dựng) - Hà Nội",Công ty cổ phần xây dựng Megaspace,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-xay-dung-megaspace-82c6d36725e2750b998e7a7c5cbe5170-6685076d51a2a.jpg
"Back End Developer (Java, MySQL, Spring) - Tại Hà Nội - Thu Nhập Hấp Dẫn",Công Ty TNHH LG CNS VIỆT NAM,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/TookgFfkXGVGSlPM3ZImR07Uz4UDNz5U_1681297674____f10a3ab84434a4d2e12e0e24b30090ba.png
Giao Dịch Viên Tài Chính Tại PNJ Hồ Chí Minh Từ 1 Năm Kinh Nghiệm (Thu Nhập 9 Triệu - 20 Triệu),CÔNG TY CỔ PHẦN NGƯỜI BẠN VÀNG,9 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-nguoi-ban-vang-043c51d864475063d2d9ed89404ebcb4-66222ace51e7e.jpg
Nhân Viên Kinh Doanh /Tư Vấn/Bán Hàng Ô Tô Tại Mazda Láng Hạ (Không Yêu Cầu Kinh Nghiệm - Thu Nhập Từ 20 - 40 Triệu),Mazda Láng Hạ,20 - 40 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/mazda-lang-ha-6f4345d08946090f4a0242f5ee4b50c8-662711bb119a9.jpg
"GẤP
Nhân Viên Kinh Doanh/ Tư Vấn/ Sales (Data Sẵn, LCB Thử Việc 100%) Đi Làm Ngay",CÔNG TY CỔ PHẦN ACAC ACADEMY,10 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-acac-academy-562811cf9ad18c633a57798b7e818150-64eeb45fee821.jpg
Trưởng Nhóm Bán Hàng Qua Điện Thoại / Team Lead Telesales ( Thu Nhập Hấp Dẫn Từ 20 Triệu/Tháng - Q12 ),CÔNG TY TNHH VIETNAM CONCENTRIX SERVICES,20 - 38 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-vietnam-concentrix-services-5f4383f340a05.jpg
"GẤP
Nhân Viên Kinh Doanh Sales Logistics Ưu Tiên Nữ - Thu Nhập Upto 20 Triệu/Tháng Tại Hà Nội",Công ty Cổ phần kho vận quốc tế VAST,7 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/8UQf4CI8yusZVheBVcE1fDpucgxVRS38_1676624741____444ac8e7160e336c6eb5bdb3ba25907a.jpg
"GẤP
Chuyên Viên Sales Dịch Vụ Bán Khóa Học Cho Cá Nhân/ Doanh Nghiệp, Chỉ Tuyển Nữ - Lương Cứng Từ 9 Triệu/Tháng Tại Hà Nội",CÔNG TY TNHH CHỨNG NHẬN KNA,20 - 30 triệu,"Hà Nội, Hồ Chí Minh",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/4f23f967f98c21c02cf002eb71dda487-60fa78efdb43f.jpg
Nhân Viên Bán Hàng (Không Yêu Cầu Kinh Nghiệm) - Hồ Chí Minh - Bến Tre - Đi Làm Ngay,CÔNG TY TNHH CÚC TÂY TRADING,6 - 8 triệu,"Hồ Chí Minh, Tiền Giang",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/5o1ULfZ9zsLg76nQMc829Y9MrGp5liut_1687248822____ac0b8aa8835276d45a4dbc2dfb192bcb.jpg
Digital Marketing (Thu Nhập Đến 25 Triệu),FIDELIA MARKETING,10 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/fidelia-marketing-951eb1248b14c7d7977d1eea551d45a0-66062dcb125b3.jpg
"HOT
Nhân Viên Kinh Doanh/Tư Vấn/Sale Tại Hà Nội (Thu Nhập Từ 15 - 30 Triệu)",Công ty Cổ Phần Rich Nguyen Academy,15 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-rich-nguyen-academy-613b15e6b0d57.jpg
"Nhân Viên Kinh Doanh Nhập Hàng Trung Quốc Cho Các Shop Buôn (Thu Nhập 8 Đến 35 Triệu), Tại Cầu Giấy - Hà Nội",Nhập Hàng Trung,8 - 35 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ZrpZRn7SM2pVTduu5efCXPaA3UxJcB7V_1704764611____5c9478d4153af57e0efbe50c9422498d.jpg
Chuyên Viên Kinh Doanh/ Life Portfolio Manager - Quận 1 (Lương 15 - 18 Triệu + Thưởng),CÔNG TY TNHH BẢO HIỂM NHÂN THỌ SUN LIFE VIỆT NAM,15 - 36 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/vOiPmBcYPansoc37ngmS79JgMCpicpIR_1697800694____599a584d3107285310f2e494bc401e9a.jpg
2D Game Artist,SonatGame Studio,Tới 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/sonatgame-studio-5ce254d301c98.jpg
Chuyên Viên Tư Vấn Tuyển Sinh - Tại Hà Nội - Thu Nhập 11 - 20 Triệu,SAPP Academy,11 - 20 triệu,"Hà Nội, Hồ Chí Minh",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/sapp-academy-583905327999c_rs.jpg
"Nhân Viên Kinh Doanh, Đi Làm Luôn, Thu Nhập Lên Đến 15 Triệu VNĐ + Thưởng",CÔNG TY CỔ PHẦN GOLDEN PEN,13 - 15 triệu,Hà Nội & 3 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-golden-pen-62e8f28cd13eb.jpg
"Nhân Viên Kinh Doanh/ Chăm Sóc Khách Hàng/ Tư Vấn Tài Chính/ Sale (Từ 24 Tuổi, Thu Nhập Từ 16 - 45 Triệu ++) Tại Quận 1, Hồ Chí Minh",Công Ty TNHH Bảo Hiểm Nhân Thọ AIA Vietnam,16 - 45 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-bao-hiem-nhan-tho-aia-vietnam-64165f92aab9f.jpg
"TOP
HOT
GẤP
Nhân Viên Kinh Doanh /Nhân Viên Bán Hàng/Telesale/ Tư Vấn Tuyển Sinh Khóa Học_ (Data Sẵn, Tỷ Lệ Chốt Cao, Thử Việc 100% LCB)_Thu Nhập UPTO 30M++_ Làm Việc Tại Thanh Xuân/Nam Từ Liêm",VUIHOC.vn,13 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/mUyofsckMXP3yzizOUHPwHfY8D59Yttp_1687234000____832d24e7c60703094b8d0922161d91a7.png
"Nhân Viên Kinh Doanh (Thu Nhập Trên 15 Triệu, Không Áp Kpi) - Gò Vấp",CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ CÔNG NGHỆ ĐẠI VIỆT,8 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-truyen-thong-va-cong-nghe-dai-viet-64118b52c0f80.jpg
"GẤP
Suport Engineer, 12.5 - 25M, HCM",CÔNG TY TNHH ARBIN INSTRUMENTS VIỆT NAM,12.5 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/rfWPTs3SPq7Mfm2jdSskGZq4ALnAj7rB_1713242651____799fbd2892fb85fef88500b3b37e018e.png
"Chuyên Viên Kinh Doanh/ Hoạch Định Tài Chính (Yêu Cầu Từ 24 Tuổi) - Lương Từ 19,8 Tr + Phụ Cấp Cố Định - De La Sol' [Hà Nội]",Delasol’ by Sunlife Việt Nam,19.8 - 36 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/52fbba98919d2e04708d6b0a669f1dec-64a1817eed4ae.jpg
"TOP
GẤP
Nhân Viên Kinh Doanh /Nhân Viên Bán Hàng/Telesales/ Tư Vấn Tuyển Sinh (Data Có Sẵn, Tỷ Lệ Chốt Cao_Thu Nhập UPTO 25 Triệu ++/Tháng_Yêu Cầu Từ 3 Tháng Kinh Nghiệm - Làm Việc Tại Thanh Xuân/Nam Từ Liêm)",VUIHOC.vn,13 - 25 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/mUyofsckMXP3yzizOUHPwHfY8D59Yttp_1687234000____832d24e7c60703094b8d0922161d91a7.png
Nhân Viên Tư Vấn (Không Yêu Cầu Kinh Nghiệm) Tại Hồ Chí Minh,Công ty TNHH Dịch Vụ BPO Center,7.5 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/F4JVtdfyrLgLPP2hbI2lEf8q8Ia5WTB2_1713328032____849f6c080ac477ff9f345c6d00ea1ab7.png
Nhân Viên Nhập Liệu/ Hành Chính Văn Phòng - Tại Hà Nội - Thu Nhập Tới 7 Triệu (Không Yêu Cầu Kinh Nghiệm),Phuong Chi Software Company,Trên 6.6 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-phan-mem-phuong-chi-59a0c35221402_rs.jpg
"GẤP
Giám Sát Thi Công Nội Thất 2 Năm Kinh Nghiệm, Thu Nhập 12 - 18 Triệu (Đống Đa - Hà Nội)",Công ty CP Đầu tư & Phát triển Phú Hưng,12 - 18 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/hI8tV2mvp8nWW72xNOCsFP3Rg9heSlK5_1681719806____ec82eeaf9760fce4af34abcbd6d7ffdf.PNG
Graphic Designer,SonatGame Studio,Tới 18 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/sonatgame-studio-5ce254d301c98.jpg
"Nhân Viên Tư Vấn/Sales Nguồn Hàng Trung Việt, Thu Nhập 8 - 25 Triệu (Tại Cầu Giấy - Hà Nội)",NHẬP SỈ CHINA,8 - 25 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/B8JK6tIbRDihbST266AMrbmsnkceXAMC_1646618625____b15699187bbdcbf9a52918eebc9a51b4.png
Nhân Viên Kinh Doanh - Quận 2 (Lương Cơ Bản 8 Triệu + Hoa Hồng),CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN ĐỨC HƯNG,8 - 50 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-va-phat-trien-bat-dong-san-duc-hung-0f8bf3d3121977e6e7f6a3e67226576c-66b329f66da04.jpg
"GẤP
Nhân Viên Lễ Tân Kiêm Tư Vấn Bán Hàng Thời Trang Thu Nhập Từ 8 Đến 12 Triệu Tại Cửa Hàng Đà Nẵng",HKD Paul Bespoke Tailor,8 - 12 triệu,Đà Nẵng,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/hkd-paul-bespoke-tailor-914c9c3185a43ab9c614c994f89dd8db-6684c1cac6146.jpg
"Nhân Viên Kinh Doanh/Tư Vấn/ Telesales Giáo Dục Không Yêu Cầu Kinh Nghiệm Thu Nhập Đến 30M++ Hà Nội, Bắc Ninh, Thanh Hóa, Hưng Yên, Quận 2, Quận 11, Quận 6, Quận 9, Đà Nẵng, Kiên Giang, Bình Dương",Tổ chức Giáo dục và Đào tạo Apollo Việt Nam,10 - 30 triệu,Hà Nội & 11 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/to-chuc-giao-duc-va-dao-tao-apollo-viet-nam-5dd4bce9c2fa0.jpg
Giáo Viên Tiếng Anh Online,EDUPIA,3 - 15 triệu,Miền Nam & 3 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/3C7AY1IPWVcwIyUGaKQtc9yvf2kGHcsa_1666664903____dbc9096d586d1b1c6e7427fe3b22abbc.png
"Nhân Viên Kinh Doanh Sales / Lương Cứng 8-18Tr + Hoa Hồng+ Thưởng (Thu Nhập Upto 30Tr), Hà Nội",CÔNG TY CỔ PHẦN EDUVATOR,13 - 30 triệu,Hà Nội & 2 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-eduvator-64213c06f3c25.jpg
Chuyên Viên Kinh Doanh B2B (Công Nghệ/Viễn Thông),Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,10 - 20 triệu,"Hồ Chí Minh, Đà Nẵng",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-mtv-vien-thong-quoc-te-fpt-5d898f99a34de.jpg
Chuyên Viên Quản Lý Quan Hệ Khách Hàng Ưu Tiên - Lương Từ 20 Triệu - Techcombank Hà Nội,Ngân hàng Thương mại cổ phần Kỹ Thương Việt Nam - Techcombank,20 - 40 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ngan-hang-thuong-mai-co-phan-ky-thuong-viet-nam-techcombank-664ca7045e521a35ec681631ea389a18-6610a036d2c11.jpg
"TOP
GẤP
Nhân Viên Chăm Sóc Khách Hàng & Bán Hàng Qua Điện Thoại (Lương Upto 11.6 Triệu, Có Sẵn Data & Máy Tính) Tại Tân Bình",CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,7.1 - 11.6 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-transcosmos-viet-nam-5961d92dd08ff3673bd213e172710a39-65dd57faac12a.jpg
"HOT
Nhân Viên SEO Web - Hà Đông, Hà Nội (Lương 15 - 20 Triệu)",CÔNG TY TNHH 24H MEDIA VIỆT NAM,15 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/Bz8YxDKdLWNe9NYmzZBNaQDrwyUC3BCH_1711512788____adc25e95335cc7d60cf52606d70dec41.jpg
"Chỉ Huy Trưởng Công Trình (Hải Phòng, Thanh Hoá, Bắc Ninh) - Thu Nhập Trên 20 Triệu",Công ty cổ phần xây dựng Megaspace,Trên 20 triệu,Hà Nội & 4 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-xay-dung-megaspace-82c6d36725e2750b998e7a7c5cbe5170-6685076d51a2a.jpg
Data Engineer (Big Data),Khối Công nghệ thông tin - Viettel Telecom,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/khoi-cong-nghe-thong-tin-viettel-telecom-293f89cbe027527c46c31cf007f887a5-64a22e034ca60.jpg
"Chuyên Viên Tuyển Dụng [Hà Nội] - Lương Cơ Bản Upto 18Tr+++, Yêu Cầu 2 Năm Kinh Nghiệm",CÔNG TY TNHH BẢO TÍN MINH CHÂU,12 - 18 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-bao-tin-minh-chau-509d9df8c3bcab4171712bfacdf4b8cd-65a4fa0a9772f.jpg
Nhân Viên Kinh Doanh B2B Logistics - Express,Công ty cổ phần Hai Bốn Bảy,12 - 20 triệu,Long An & 11 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/j5VgyhLeaTxlrl7WmuiUfrY2Ds36Ch7A_1670381727____2a0ede2ed3ad5104cf8febb923e2ea3e.jpg
Graphic Designer (Thu Nhập Đến 25 Triệu),FIDELIA MARKETING,15 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/fidelia-marketing-951eb1248b14c7d7977d1eea551d45a0-66062dcb125b3.jpg
"Nhân Viên Khai Báo Hải Quan - Hồ Chí Minh, Thu Nhập Upto 14 Triệu (Phỏng Vấn, Nhận Việc Ngay)",Bee Logistics Corporation,9 - 14 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/bee-logistics-corporation-b819f52e4b872de4e0a8ffbc5a664ecb-6686085b950b8.jpg
Nhân Viên Kinh Doanh / Tư Vấn / Sales / Chăm Sóc Khách Hàng Khu Vực Hà Nội - Hỗ Trợ Chi Phí Marketing / Có Sẵn Data (Thu Nhập Upto 50 Triệu),CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN BẦU TRỜI VIỆT NAM,15 - 50 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-bat-dong-san-bau-troi-viet-nam-2dfd60d0d5203a6d7b862316eee987b5-65e91d9f4a791.jpg
"Nhân Viên Telesales/ Tư Vấn Qua Điện Thoại/ CSKH Outbound/ Call Center (Kinh Nghiệm Telesales Từ 6 Tháng, Data Có Sẵn)",CÔNG TY TNHH CARELINE SOLUTION,15 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-careline-solution-411e9bc2db74c1c4125c7d71e88f2f91-66751ea3e64bb.jpg
Video Editor (Fresher),SonatGame Studio,Tới 18 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/sonatgame-studio-5ce254d301c98.jpg
"HOT
Nhân Viên Kinh Doanh Tư Vấn (Sales) (Không Yêu Cầu Kinh Nghiệm) - Toàn Quốc",CÔNG TY TNHH GIẢI PHÁP KINH DOANH THẾ HỆ MỚI VNNG,10 - 15 triệu,Cà Mau & 67 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-giai-phap-kinh-doanh-the-he-moi-vnng-640fe72f8540f.jpg
"HOT
Nhân Viên Kinh Doanh/ Telesales/ Tư Vấn Bán Hàng Qua Điện Thoại/ CSKH (Outbound) - Có Kinh Nghiệm Telesales Từ 3 Tháng",CÔNG TY TNHH MTV HEALTHPOST,15 - 30 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-mtl-healthpost-bf7e42e68b58c72df1cc75b0d81db253-6440dd2bde140.jpg
Nhân Viên Kinh Doanh Phần Mềm (Sale B2B),Công ty cổ phần Công nghệ Windsoft Việt Nam,15 - 25 triệu,Hà Nội & 3 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-windsoft-viet-nam-5f6474533ba21.jpg
Project Manager (IT/System/Network/Cloud),Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,25 - 40 triệu,"Hồ Chí Minh, Hà Nội",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-mtv-vien-thong-quoc-te-fpt-5d898f99a34de.jpg
Nhân Viên Kinh Doanh Tại Hồ Chí Minh (Lương Cơ Bản 8 Triệu + Hoa Hồng Từ 5% Đến 15%) - Chỉ Tuyển Nam,CÔNG TY CỔ PHẦN GIẢI PHÁP VÀ CÔNG NGHỆ VIETNIX,8 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-giai-phap-va-cong-nghe-vietnix-624e5b3f74427.jpg
Chuyên Viên Bán Hàng Cửa Hàng - Quận 6 - Thu Nhập Từ 8.500.000-18.000.000/ Tháng ( LC: 8.500.000),Công Ty Cổ Phần Nệm Thuần Việt,8.5 - 18 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/0lb0bWLT4YWU7317zsqDvtnLSvK06OIq_1681898410____4378be82ff4937a84e03fee363a7f2ed.png
Trưởng Phòng Marketing Thu Nhập Từ 25 - 30 Triệu,Công Ty Cổ Phần Bệnh Viện Thú Y PetHealth,25 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-benh-vien-thu-y-pethealth-5e6079ee7690a.jpg
Nhân Viên Kinh Doanh BĐS/ Nhân Viên Tư Vấn/ Telesale Bất Động Sản/Chăm Sóc Khách Hàng- Data Có Sẵn - Lương Cứng Từ 8 Triệu + Hỗ Trợ Marketing 3 Triệu + Thưởng Nóng + Phụ Cấp Khác- BĐS Top10 VN,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ DỊCH VỤ ĐẤT XANH MIỀN NAM,8 - 200 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-va-dich-vu-dat-xanh-mien-nam-31fd2508725bf360e90f76ae47956a7f-66976f9598d6a.jpg
Trưởng Phòng Quản Lý Chất Lượng Tại Thanh Hóa / Giám Sát (QA/QC Manager),CÔNG TY TNHH MỘT THÀNH VIÊN THÉP VAS NGHI SƠN,Thoả thuận,Hà Nội & 5 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-mot-thanh-vien-thep-vas-nghi-son-7db722cd09f151b522f7f6fbe58d32a9-65ead1a8d9380.jpg
Kế Toán Tổng Hợp (Nữ) - Thu Nhập Lên Đến 20 Triệu - Quận Tân Bình,CÔNG TY TNHH MỘT THÀNH VIÊN XUẤT NHẬP KHẨU KIẾN GIANG,10 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/93f643f0b1b354f3582fcaf95a8b13ed-62bc13d1e7182.jpg
Nhân Viên Kinh Doanh/ Tư Vấn Phần Mềm Quản Lý Nhà Hàng (Không Yêu Cầu Kinh Nghiệm) Thu Nhập Upto 20M,Công ty Cổ phần MISA,15 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/YVVFSY05ZUhqjlVHtBl2kOD1a189WFj0_1652947920____d78c5dd2ab820dcbb9a367b40e712067.jpg
